iter,objective,grad_norm
2.370000000000000000e+02,3.146811441115014318e+01,2.204203361260320833e+02
2.380000000000000000e+02,3.140704987707380980e+01,2.196750814394821418e+02
2.390000000000000000e+02,3.134639611147551719e+01,2.189405832811988262e+02
2.400000000000000000e+02,3.128614708146389489e+01,2.182104114663968346e+02
2.410000000000000000e+02,3.122629887425005535e+01,2.174848519443178532e+02
2.420000000000000000e+02,3.116684738389395548e+01,2.167684856770011947e+02
2.430000000000000000e+02,3.110778595743220620e+01,2.160591127006564989e+02
2.440000000000000000e+02,3.104911032955212491e+01,2.153529795973883552e+02
2.450000000000000000e+02,3.099081727131263975e+01,2.146519094852681064e+02
2.460000000000000000e+02,3.093290269607276954e+01,2.139575849682262287e+02
2.470000000000000000e+02,3.087536146969440409e+01,2.132695051689318007e+02
2.480000000000000000e+02,3.081818924003516358e+01,2.125876322809026249e+02
2.490000000000000000e+02,3.076138174550259663e+01,2.119096363546398720e+02
2.500000000000000000e+02,3.070493574269488590e+01,2.112357726331939318e+02
2.510000000000000000e+02,3.064884763607997442e+01,2.105692722030915149e+02
2.520000000000000000e+02,3.059311239558767781e+01,2.099075168117407486e+02
2.530000000000000000e+02,3.053772681123785304e+01,2.092486835602086614e+02
2.540000000000000000e+02,3.048268824628089035e+01,2.085927579926954820e+02
2.550000000000000000e+02,3.042799408604863842e+01,2.079397257607327276e+02
2.560000000000000000e+02,3.037364173747973695e+01,2.072896040113354843e+02
2.570000000000000000e+02,3.031962852876304382e+01,2.066430324308093134e+02
2.580000000000000000e+02,3.026595154267804944e+01,2.060006194698529214e+02
2.590000000000000000e+02,3.021260757295198474e+01,2.053604689639310266e+02
2.600000000000000000e+02,3.015959465892039049e+01,2.047234966402197927e+02
2.610000000000000000e+02,3.010690946345564356e+01,2.040926572442693328e+02
2.620000000000000000e+02,3.005454829741431766e+01,2.034655553049957462e+02
2.630000000000000000e+02,3.000250807527613617e+01,2.028424559037508175e+02
2.640000000000000000e+02,2.995078600131026647e+01,2.022220717707624260e+02
2.650000000000000000e+02,2.989937955568939287e+01,2.016063271556408552e+02
2.660000000000000000e+02,2.984828538194114245e+01,2.009942228289741877e+02
2.670000000000000000e+02,2.979750077798103547e+01,2.003873245379785715e+02
2.680000000000000000e+02,2.974702150885772767e+01,1.997876733137551355e+02
2.690000000000000000e+02,2.969684375624422046e+01,1.991924445219945596e+02
2.700000000000000000e+02,2.964696335979839503e+01,1.986069993631842578e+02
2.710000000000000000e+02,2.959737549639259768e+01,1.980256584192897549e+02
2.720000000000000000e+02,2.954807727715459009e+01,1.974473993833772454e+02
2.730000000000000000e+02,2.949906641308436761e+01,1.968722247397393801e+02
2.740000000000000000e+02,2.945034076058595929e+01,1.962975329997812253e+02
2.750000000000000000e+02,2.940189882266952637e+01,1.957308459468817716e+02
2.760000000000000000e+02,2.935373443140688465e+01,1.951765907265648252e+02
2.770000000000000000e+02,2.930584228021274029e+01,1.946258165920834529e+02
2.780000000000000000e+02,2.925821966598516610e+01,1.940789901415881502e+02
2.790000000000000000e+02,2.921086400909290859e+01,1.935376362819375231e+02
2.800000000000000000e+02,2.916377134190852516e+01,1.930033702420570592e+02
2.810000000000000000e+02,2.911693801099119483e+01,1.924725730626613540e+02
2.820000000000000000e+02,2.907036151736019391e+01,1.919469699201755191e+02
2.830000000000000000e+02,2.902403881860266210e+01,1.914236885359808582e+02
2.840000000000000000e+02,2.897796853349346691e+01,1.909009962756283301e+02
2.850000000000000000e+02,2.893214921808097273e+01,1.903829087616749973e+02
2.860000000000000000e+02,2.888657783260795497e+01,1.898691770511139225e+02
2.870000000000000000e+02,2.884125192599639931e+01,1.893577301903560510e+02
